,acc
0,0.0554
1,0.3926
2,0.578
3,0.6752
4,0.6858
5,0.738
6,0.7466
7,0.762
8,0.7716
9,0.7662
10,0.7842
11,0.832
12,0.8032
13,0.806
14,0.7808
15,0.7994
16,0.798
17,0.8068
18,0.8004
19,0.8204
20,0.8148
21,0.8066
22,0.8182
23,0.8656
24,0.829
25,0.8292
26,0.8098
27,0.824
28,0.8252
29,0.8276
30,0.8172
31,0.8374
32,0.8276
33,0.8208
34,0.831
35,0.876
36,0.8476
37,0.8424
38,0.8218
39,0.8378
40,0.8366
41,0.8388
42,0.8278
43,0.8464
44,0.8396
45,0.8294
46,0.8428
47,0.8828
48,0.8576
49,0.8504
50,0.8326
51,0.8474
52,0.8448
53,0.8476
54,0.8358
55,0.8532
56,0.8476
57,0.8376
58,0.851
59,0.8902
60,0.8638
61,0.856
62,0.8392
63,0.8544
64,0.8508
65,0.8548
66,0.8408
67,0.8578
68,0.853
69,0.8444
70,0.8558
71,0.8938
72,0.8684
73,0.8614
74,0.8454
75,0.8588
76,0.857
77,0.86
78,0.8438
79,0.8628
80,0.8596
81,0.8492
82,0.8602
83,0.8954
84,0.8744
85,0.8658
86,0.85
87,0.8616
88,0.8604
89,0.863
90,0.8476
91,0.8654
92,0.8634
93,0.853
94,0.8628
95,0.8978
96,0.8776
97,0.8688
98,0.8528
99,0.8642
100,0.8664
101,0.8662
102,0.8512
103,0.8684
104,0.8656
105,0.8564
106,0.8642
107,0.8996
108,0.8792
109,0.8712
110,0.8566
111,0.8684
112,0.87
113,0.8682
114,0.855
115,0.8696
116,0.8662
117,0.8588
118,0.8666
119,0.9014
120,0.8816
121,0.8736
122,0.8594
123,0.8724
124,0.871
125,0.8712
126,0.8566
127,0.8714
128,0.8682
129,0.8606
130,0.8698
131,0.9028
132,0.8842
133,0.877
134,0.8608
135,0.8732
136,0.8728
137,0.8742
138,0.8596
139,0.8722
140,0.8704
141,0.8624
142,0.8704
143,0.9044
144,0.8848
145,0.8788
146,0.864
147,0.8762
148,0.8746
149,0.8756
150,0.8616
151,0.873
152,0.8722
153,0.8638
154,0.8722
155,0.9058
156,0.8858
157,0.8808
158,0.865
159,0.8772
160,0.8762
161,0.8774
162,0.863
163,0.875
164,0.874
165,0.8654
166,0.8734
167,0.9082
168,0.8866
169,0.882
170,0.8664
171,0.8792
172,0.8776
173,0.879
174,0.865
175,0.8762
176,0.8758
177,0.8682
178,0.8756
179,0.9084
180,0.8874
181,0.8826
182,0.8664
183,0.8792
184,0.8778
185,0.8802
186,0.8662
187,0.8764
188,0.8768
189,0.8696
190,0.8768
191,0.9094
192,0.8886
193,0.8836
194,0.8688
195,0.8812
196,0.879
197,0.8806
198,0.868
199,0.8784
200,0.8786
201,0.8698
202,0.8786
203,0.9092
204,0.8888
205,0.8842
206,0.869
207,0.8818
208,0.8802
209,0.8822
210,0.8682
211,0.8788
212,0.8802
213,0.8722
214,0.88
215,0.9104
216,0.8904
217,0.8842
218,0.8692
219,0.884
220,0.8804
221,0.8826
222,0.8696
223,0.8792
224,0.8804
225,0.8724
226,0.8804
227,0.9104
228,0.891
229,0.885
230,0.8708
231,0.8848
232,0.8814
