,acc
233,0.883
234,0.8696
235,0.8796
236,0.8808
237,0.8736
238,0.8808
239,0.9108
240,0.892
241,0.8846
242,0.871
243,0.8848
244,0.8824
245,0.8832
246,0.8714
247,0.8796
248,0.8824
249,0.875
250,0.8818
251,0.9108
252,0.8926
253,0.8842
254,0.8718
255,0.8856
256,0.8832
257,0.8842
258,0.8722
259,0.8792
260,0.8834
261,0.875
262,0.8822
263,0.911
264,0.8936
265,0.884
266,0.8728
267,0.885
268,0.8836
269,0.8846
270,0.8726
271,0.8802
272,0.8854
273,0.8748
274,0.8826
275,0.9112
276,0.8948
277,0.884
278,0.8728
279,0.8854
280,0.8838
281,0.8848
282,0.873
283,0.8806
284,0.8866
285,0.8764
286,0.8826
287,0.911
288,0.8956
289,0.884
290,0.873
291,0.8852
292,0.8852
293,0.8856
294,0.8738
295,0.8802
296,0.8874
297,0.877
298,0.883
299,0.9114
300,0.8968
301,0.8842
302,0.8742
303,0.8856
304,0.8866
305,0.886
306,0.8742
307,0.8812
308,0.8872
309,0.8766
310,0.8834
311,0.912
312,0.897
313,0.8848
314,0.8744
315,0.8868
316,0.8866
317,0.887
318,0.8756
319,0.8822
320,0.8876
321,0.877
322,0.8836
323,0.9128
324,0.8972
325,0.8852
326,0.8746
327,0.8874
328,0.8878
329,0.8874
330,0.8758
331,0.8824
332,0.8876
333,0.877
334,0.884
335,0.9138
336,0.8972
337,0.8858
338,0.8748
339,0.8878
340,0.888
341,0.8874
342,0.8764
343,0.883
344,0.8884
345,0.877
346,0.8848
347,0.9142
348,0.8976
349,0.8856
350,0.8756
351,0.8882
352,0.8882
353,0.8878
354,0.8764
355,0.8836
356,0.8898
357,0.8772
358,0.885
359,0.9142
360,0.898
361,0.8864
362,0.876
363,0.8888
364,0.8888
365,0.888
366,0.8766
367,0.8836
368,0.8904
369,0.8784
370,0.8856
371,0.9148
372,0.8984
373,0.8874
374,0.8766
375,0.8888
376,0.8886
377,0.8882
378,0.8766
379,0.8844
380,0.8904
381,0.8794
382,0.886
383,0.9142
384,0.8982
385,0.8878
386,0.8766
387,0.889
388,0.8894
389,0.8884
390,0.8766
391,0.885
392,0.8902
393,0.8796
394,0.8866
395,0.9144
396,0.8982
397,0.8882
398,0.8768
399,0.8896
400,0.8896
401,0.8894
402,0.8772
403,0.8848
404,0.8906
405,0.88
406,0.8866
407,0.9146
408,0.8988
409,0.8884
410,0.8774
411,0.8904
412,0.8896
413,0.8904
414,0.8772
415,0.8852
416,0.8908
417,0.88
418,0.8868
419,0.9148
420,0.8988
421,0.8896
422,0.8784
423,0.891
424,0.89
425,0.891
426,0.8778
427,0.8858
428,0.891
429,0.8802
430,0.8874
431,0.9154
432,0.899
433,0.8898
434,0.879
435,0.8916
436,0.8908
437,0.891
438,0.878
439,0.8856
440,0.8916
441,0.8802
442,0.8874
443,0.9154
444,0.9
445,0.8902
446,0.8794
447,0.8916
448,0.891
449,0.8906
450,0.8784
451,0.8856
452,0.892
453,0.8812
454,0.8872
455,0.9154
456,0.9002
457,0.8908
458,0.8798
459,0.8918
460,0.8916
461,0.8908
462,0.8794
463,0.886
464,0.893
465,0.8818
466,0.8874
467,0.9158
468,0.9002
469,0.8912
470,0.88
471,0.892
472,0.8918
473,0.8906
474,0.8802
475,0.8862
476,0.8938
477,0.8826
478,0.8878
479,0.916
480,0.9004
481,0.8912
482,0.881
483,0.893
484,0.8924
485,0.8908
486,0.8802
487,0.8866
488,0.894
489,0.8826
490,0.8878
491,0.9162
492,0.901
493,0.8918
494,0.882
495,0.8934
496,0.8928
497,0.891
498,0.8802
499,0.8866
500,0.894
501,0.8824
502,0.888
503,0.916
504,0.9012
505,0.892
506,0.8824
507,0.894
508,0.8936
509,0.891
510,0.8806
511,0.8868
512,0.8946
513,0.8828
514,0.8884
515,0.9162
516,0.9012
517,0.8922
518,0.8828
519,0.8944
520,0.8936
521,0.8906
522,0.881
523,0.8868
524,0.8952
525,0.8834
526,0.8882
527,0.916
528,0.9016
529,0.8926
530,0.8832
531,0.8946
532,0.8942
533,0.8908
534,0.8814
535,0.887
536,0.8952
537,0.8838
538,0.8888
539,0.9162
540,0.902
541,0.8924
542,0.8832
543,0.8946
544,0.8944
545,0.8908
546,0.8816
547,0.8874
548,0.8956
549,0.8842
550,0.8888
551,0.9164
552,0.9032
553,0.8926
554,0.8834
555,0.8944
556,0.8948
557,0.8918
558,0.8818
559,0.8872
560,0.8954
561,0.884
562,0.889
563,0.9164
564,0.9034
565,0.8926
566,0.884
567,0.8948
568,0.895
569,0.8916
570,0.8822
571,0.887
572,0.8954
573,0.885
574,0.8892
575,0.9164
576,0.9028
577,0.8924
578,0.8844
579,0.8948
580,0.8954
581,0.8916
582,0.8828
583,0.8872
584,0.8956
585,0.8846
586,0.889
587,0.9164
588,0.9026
589,0.8928
590,0.8848
591,0.8946
592,0.8954
593,0.8918
594,0.8822
595,0.8872
596,0.8958
597,0.8848
598,0.8894
599,0.9164
600,0.9028
601,0.8928
602,0.8848
603,0.8948
604,0.8958
605,0.892
606,0.8826
607,0.8874
608,0.896
609,0.8848
610,0.8896
611,0.9166
612,0.903
613,0.8928
614,0.8852
615,0.895
616,0.8954
617,0.8924
618,0.883
619,0.8874
620,0.8958
621,0.885
622,0.8898
623,0.917
624,0.9034
625,0.8932
626,0.8854
627,0.8952
628,0.8956
629,0.8924
630,0.8838
631,0.8874
632,0.8958
633,0.8852
634,0.8898
635,0.9172
636,0.9036
637,0.8932
638,0.8856
639,0.895
640,0.8956
641,0.8924
642,0.884
643,0.8876
644,0.8962
645,0.8854
646,0.8894
647,0.9174
648,0.9038
649,0.8936
650,0.8856
651,0.895
652,0.8956
653,0.8924
654,0.8842
655,0.8878
656,0.8962
657,0.8858
658,0.8894
659,0.9178
660,0.904
661,0.894
662,0.8856
663,0.8954
664,0.8958
665,0.8928
666,0.884
667,0.8884
668,0.896
669,0.8864
670,0.89
671,0.918
672,0.904
673,0.8936
674,0.8858
675,0.8954
676,0.8956
677,0.893
678,0.8842
679,0.8886
680,0.8964
681,0.8866
682,0.89
683,0.9182
684,0.9038
685,0.894
686,0.886
687,0.8956
688,0.896
689,0.893
690,0.8844
691,0.8886
692,0.8966
693,0.8868
694,0.89
695,0.9182
696,0.9034
697,0.8938
698,0.8858
699,0.8958
700,0.8966
701,0.8928
702,0.8846
703,0.889
704,0.8966
705,0.8872
706,0.8902
707,0.918
708,0.9032
709,0.8938
710,0.8862
711,0.8954
712,0.8966
713,0.8928
714,0.8848
715,0.8888
716,0.8966
717,0.8874
718,0.8906
719,0.9182
720,0.9032
721,0.894
722,0.886
723,0.8954
724,0.8964
725,0.8932
726,0.885
727,0.889
728,0.8966
729,0.888
730,0.8906
731,0.9184
732,0.9034
733,0.894
734,0.8862
735,0.8954
736,0.8964
737,0.894
738,0.8852
739,0.8886
740,0.8968
741,0.8886
742,0.8906
743,0.9192
744,0.9036
745,0.8944
746,0.8858
747,0.8956
748,0.8968
749,0.8942
750,0.8852
751,0.8886
752,0.8968
753,0.8888
754,0.8906
755,0.9192
756,0.904
757,0.8944
758,0.8856
759,0.8958
760,0.8968
761,0.894
762,0.8852
763,0.8886
764,0.8966
765,0.8894
766,0.8906
767,0.9194
768,0.9044
769,0.8944
770,0.886
771,0.8956
772,0.897
773,0.894
774,0.8856
775,0.8888
776,0.8968
777,0.8894
778,0.8908
779,0.9198
780,0.9046
781,0.8944
782,0.8862
783,0.8964
784,0.897
785,0.8942
786,0.8854
787,0.8888
788,0.897
789,0.8894
790,0.8908
791,0.9196
792,0.9046
793,0.8942
794,0.8864
795,0.8964
796,0.897
797,0.8944
798,0.885
799,0.889
800,0.8976
801,0.889
802,0.8906
803,0.9198
804,0.9048
805,0.894
806,0.8868
807,0.8964
808,0.897
809,0.8944
810,0.8854
811,0.889
812,0.898
813,0.8894
814,0.8906
815,0.9198
816,0.9052
817,0.8942
818,0.8876
819,0.8964
820,0.897
821,0.8948
822,0.8854
823,0.889
824,0.8984
825,0.8892
826,0.8906
827,0.92
828,0.905
829,0.8948
830,0.8882
831,0.8962
832,0.897
833,0.8946
834,0.8854
835,0.8892
836,0.8984
837,0.889
838,0.8906
839,0.9202
840,0.9054
841,0.8946
842,0.888
843,0.8968
844,0.897
845,0.8946
846,0.8852
847,0.8894
848,0.8986
849,0.8892
850,0.8904
851,0.92
852,0.9058
853,0.8946
854,0.8886
855,0.897
856,0.8976
857,0.8942
858,0.8856
859,0.8894
860,0.8986
861,0.8896
862,0.8908
863,0.92
864,0.9058
865,0.8946
866,0.8888
867,0.897
868,0.8976
869,0.894
870,0.8854
871,0.8894
872,0.8986
873,0.8902
874,0.891
875,0.9202
876,0.9062
877,0.8946
878,0.8888
879,0.8972
880,0.898
881,0.8942
882,0.8856
883,0.8898
884,0.8986
885,0.8906
886,0.8912
887,0.9202
888,0.9064
889,0.895
890,0.8888
891,0.8972
892,0.898
893,0.8942
894,0.8856
895,0.89
896,0.899
897,0.8906
898,0.8912
899,0.92
900,0.9064
901,0.8952
902,0.889
903,0.8976
904,0.8978
905,0.8942
906,0.8856
907,0.8904
908,0.8994
909,0.8906
910,0.8918
911,0.92
912,0.9064
913,0.895
914,0.8892
915,0.8976
916,0.8974
917,0.8942
918,0.8858
919,0.8904
920,0.8994
921,0.8904
922,0.8918
923,0.92
924,0.9068
925,0.895
926,0.8892
927,0.8976
928,0.8976
929,0.8944
930,0.8858
931,0.8902
932,0.8994
933,0.8906
934,0.8914
935,0.9198
936,0.907
937,0.8952
938,0.8892
939,0.898
940,0.8976
941,0.8946
942,0.8858
943,0.8902
944,0.8994
945,0.8904
946,0.8914
947,0.9202
948,0.907
949,0.8952
950,0.8892
951,0.8982
952,0.8972
953,0.8944
954,0.886
955,0.8902
956,0.8992
957,0.8904
958,0.8916
959,0.9202
960,0.9072
961,0.8954
962,0.8896
963,0.8986
964,0.8974
965,0.8942
966,0.886
967,0.8902
968,0.8992
969,0.8902
970,0.8918
971,0.9202
972,0.9072
973,0.8954
974,0.8896
975,0.899
976,0.8976
977,0.8942
978,0.8864
979,0.8904
980,0.8994
981,0.8902
982,0.8924
983,0.9202
984,0.9072
985,0.8958
986,0.8894
987,0.8996
988,0.8974
989,0.8942
990,0.8864
991,0.8906
992,0.8994
993,0.8906
994,0.8922
995,0.9204
996,0.9074
997,0.8958
998,0.8892
999,0.8996
