,acc
0,0.40673333333333334
1,0.5465833333333333
2,0.6073333333333333
3,0.6277
4,0.63955
5,0.6458333333333334
6,0.65245
7,0.6561333333333333
8,0.6612833333333333
9,0.6627
10,0.6648166666666666
11,0.66665
12,0.6684333333333333
13,0.6725666666666666
14,0.6764
15,0.67915
16,0.6822833333333334
17,0.6846
18,0.6857666666666666
19,0.6873
20,0.69
21,0.6911166666666667
22,0.69195
23,0.6937666666666666
24,0.6951166666666667
25,0.6964666666666667
26,0.69915
27,0.7012666666666667
28,0.7038
29,0.7060833333333333
30,0.70755
31,0.7073833333333334
32,0.7102166666666667
33,0.7105666666666667
34,0.71185
35,0.7125333333333334
36,0.7138833333333333
37,0.71425
38,0.7170833333333333
39,0.7188666666666667
40,0.7204833333333334
41,0.7211333333333333
42,0.72285
43,0.7229333333333333
44,0.7245166666666667
45,0.7252
46,0.72565
47,0.7263833333333334
48,0.7276666666666667
49,0.7279333333333333
50,0.72975
51,0.7315333333333334
52,0.7332
53,0.7331833333333333
54,0.7343
55,0.7343833333333334
56,0.7359333333333333
57,0.7360833333333333
58,0.7362833333333333
59,0.7368833333333333
60,0.7374166666666667
61,0.73825
62,0.7401
63,0.7406333333333334
64,0.7419666666666667
65,0.7426666666666667
66,0.7429833333333333
67,0.7434166666666666
68,0.7441666666666666
69,0.74455
70,0.74495
71,0.7451
72,0.74575
73,0.7460666666666667
74,0.7473833333333333
75,0.7484333333333333
76,0.7493333333333333
77,0.7492833333333333
78,0.7503166666666666
79,0.75045
80,0.7509166666666667
81,0.7516666666666667
82,0.7519666666666667
83,0.7518
84,0.7524166666666666
85,0.7528166666666667
86,0.7538833333333333
87,0.7543
88,0.7550333333333333
89,0.75485
90,0.7559166666666667
91,0.75585
92,0.75635
93,0.7569333333333333
94,0.7574166666666666
95,0.7578833333333334
96,0.75805
97,0.7582666666666666
98,0.7588666666666667
99,0.7589
