,acc
0,0.0752
1,0.493
2,0.5884
3,0.673
4,0.6918
5,0.7404
6,0.7448
7,0.7634
8,0.7708
9,0.7648
10,0.7808
11,0.83
12,0.8014
13,0.8044
14,0.7818
15,0.7972
16,0.7962
17,0.8102
18,0.797
19,0.816
20,0.814
21,0.8046
22,0.815
23,0.8652
24,0.8306
25,0.8288
26,0.8084
27,0.8218
28,0.8236
29,0.8288
30,0.8164
31,0.8362
32,0.828
33,0.818
34,0.8326
35,0.873
36,0.8462
37,0.8414
38,0.823
39,0.8346
40,0.8344
41,0.839
42,0.828
43,0.845
44,0.8368
45,0.8282
46,0.8424
47,0.8812
48,0.8558
49,0.8516
50,0.8332
51,0.8458
52,0.8444
53,0.8492
54,0.8358
55,0.85
56,0.8456
57,0.8372
58,0.8492
59,0.888
60,0.862
61,0.8556
62,0.842
63,0.8534
64,0.8508
65,0.8556
66,0.8392
67,0.8548
68,0.8538
69,0.8436
70,0.8542
71,0.8908
72,0.868
73,0.8616
74,0.846
75,0.8576
76,0.8552
77,0.861
78,0.844
79,0.8594
80,0.859
81,0.8496
82,0.8578
83,0.8958
84,0.871
85,0.8648
86,0.8494
87,0.8606
88,0.86
89,0.864
90,0.8488
91,0.8636
92,0.8622
93,0.853
94,0.8604
95,0.8972
96,0.8742
97,0.8676
98,0.8526
99,0.8642
100,0.863
101,0.8666
102,0.8522
103,0.8658
104,0.8666
105,0.8562
106,0.8618
107,0.8992
108,0.876
109,0.8702
110,0.8556
111,0.868
112,0.8668
113,0.8688
114,0.8534
115,0.8688
116,0.8678
117,0.8574
118,0.8636
119,0.9004
120,0.8788
121,0.872
122,0.8582
123,0.8704
124,0.8696
125,0.872
126,0.8556
127,0.8714
128,0.8692
129,0.8594
130,0.8656
131,0.9022
132,0.8802
133,0.874
134,0.8594
135,0.8722
136,0.8714
137,0.874
138,0.858
139,0.8722
140,0.871
141,0.8616
142,0.8664
143,0.9042
144,0.8818
145,0.8764
146,0.8618
147,0.8744
148,0.872
149,0.8748
150,0.861
151,0.873
152,0.8724
153,0.8626
154,0.8682
155,0.9052
156,0.8834
157,0.8784
158,0.8632
159,0.8752
160,0.8734
161,0.8764
162,0.862
163,0.8722
164,0.8738
165,0.8642
166,0.8696
167,0.9064
168,0.885
169,0.8798
170,0.8644
171,0.8766
172,0.8764
173,0.878
174,0.863
175,0.8738
176,0.875
