,acc
177,0.866
178,0.8712
179,0.907
180,0.8868
181,0.8814
182,0.865
183,0.8786
184,0.8774
185,0.8792
186,0.8644
187,0.8748
188,0.8762
189,0.8666
190,0.873
191,0.907
192,0.8878
193,0.8822
194,0.8664
195,0.8812
196,0.8772
197,0.8796
198,0.865
199,0.8754
200,0.878
201,0.8694
202,0.8746
203,0.9086
204,0.889
205,0.8826
206,0.8676
207,0.8814
208,0.8782
209,0.8804
210,0.8672
211,0.876
212,0.879
213,0.8704
214,0.8752
215,0.909
216,0.8888
217,0.883
218,0.8686
219,0.882
220,0.878
221,0.8814
222,0.8674
223,0.8768
224,0.8804
225,0.8724
226,0.8754
227,0.909
228,0.8892
229,0.8832
230,0.8682
231,0.883
232,0.8796
233,0.8822
234,0.8684
235,0.8766
236,0.8822
237,0.8738
238,0.8756
239,0.9102
240,0.8896
241,0.883
242,0.869
243,0.8842
244,0.8802
245,0.8828
246,0.8686
247,0.8766
248,0.8832
249,0.874
250,0.8768
251,0.9104
252,0.8904
253,0.8832
254,0.869
255,0.8848
256,0.8806
257,0.8832
258,0.87
259,0.878
260,0.8844
261,0.875
262,0.8784
263,0.9108
264,0.8906
265,0.8836
266,0.8694
267,0.8858
268,0.8814
269,0.884
270,0.872
271,0.8786
272,0.885
273,0.8758
274,0.8792
275,0.9112
276,0.8922
277,0.8836
278,0.87
279,0.886
280,0.882
281,0.8848
282,0.872
283,0.8788
284,0.8852
285,0.8764
286,0.8796
287,0.9118
288,0.8932
289,0.8842
290,0.8702
291,0.886
292,0.8824
293,0.885
294,0.8728
295,0.8794
296,0.8862
297,0.8758
298,0.8804
299,0.9126
300,0.8932
301,0.8846
302,0.8714
303,0.8862
304,0.8832
305,0.8866
306,0.8732
307,0.8788
308,0.8864
309,0.8756
310,0.881
311,0.9132
312,0.8934
313,0.8846
314,0.8722
315,0.8862
316,0.8834
317,0.887
318,0.8736
319,0.8792
320,0.887
321,0.8758
322,0.8814
323,0.9132
324,0.8938
325,0.8848
326,0.8728
327,0.8864
328,0.8846
329,0.8868
330,0.8736
331,0.879
332,0.887
333,0.876
334,0.8816
335,0.9136
336,0.8944
337,0.8852
338,0.8734
339,0.8872
340,0.885
341,0.8872
342,0.8738
343,0.8792
344,0.8878
345,0.8762
346,0.882
347,0.9128
348,0.8946
349,0.886
350,0.8734
351,0.888
352,0.8854
353,0.8874
354,0.8746
355,0.8802
356,0.8886
357,0.8766
358,0.8822
359,0.913
360,0.8948
361,0.8862
362,0.8734
363,0.8876
364,0.886
365,0.8876
366,0.8748
367,0.8806
368,0.8886
369,0.877
370,0.8826
371,0.913
372,0.8948
373,0.8856
374,0.874
375,0.8876
376,0.887
377,0.8878
378,0.8756
379,0.8812
380,0.8888
381,0.877
382,0.8836
383,0.9132
384,0.8956
385,0.886
386,0.8744
387,0.8882
388,0.8872
389,0.8882
390,0.876
391,0.8812
392,0.8888
393,0.8784
394,0.8842
395,0.9132
396,0.8956
397,0.887
398,0.875
399,0.8894
400,0.8876
401,0.8884
402,0.876
403,0.8822
404,0.889
405,0.8786
406,0.8848
407,0.9136
408,0.8972
409,0.8878
410,0.8758
411,0.8892
412,0.8882
413,0.8888
414,0.876
415,0.8822
416,0.8894
417,0.8786
418,0.8852
419,0.914
420,0.8972
421,0.8882
422,0.8768
423,0.8894
424,0.888
425,0.8886
426,0.8768
427,0.8822
428,0.8896
429,0.8788
430,0.8856
431,0.9142
432,0.8978
433,0.8888
434,0.8772
435,0.8894
436,0.888
437,0.8884
438,0.8766
439,0.8822
440,0.8904
441,0.8788
442,0.8862
443,0.914
444,0.8978
445,0.8888
446,0.8772
447,0.8898
448,0.8882
449,0.8888
450,0.8768
451,0.883
452,0.8904
453,0.8792
454,0.8866
455,0.9142
456,0.8984
457,0.8894
458,0.878
459,0.8902
460,0.8884
461,0.8892
462,0.8772
463,0.8832
464,0.8904
465,0.8794
466,0.8866
467,0.9138
468,0.8986
469,0.8896
470,0.8788
471,0.8904
472,0.8888
473,0.8892
474,0.8772
475,0.8834
476,0.8908
477,0.8798
478,0.8872
479,0.914
480,0.899
481,0.89
482,0.8792
483,0.8906
484,0.8884
485,0.8898
486,0.8772
487,0.8844
488,0.8916
489,0.8804
490,0.8876
491,0.9142
492,0.8992
493,0.8904
494,0.8792
495,0.891
496,0.8888
497,0.89
498,0.877
499,0.885
